oh		2	0.00169
ability		1	0.000845
emit		1	0.000845
fingers.		2	0.00169
patted		1	0.000845
shoulder.		3	0.00254
did		10	0.00845
well.		3	0.00254
test		2	0.00169
wanted.		1	0.000845
useful		1	0.000845
type		1	0.000845
thought.		2	0.00169
sure		2	0.00169
lopen		4	0.00338
behind		3	0.00254
them.		8	0.00676
go		2	0.00169
ahead		2	0.00169
leave		1	0.000845
herdazian		1	0.000845
wall.		3	0.00254
view		1	0.000845
here		6	0.00507
wonderful.		1	0.000845
slime		1	0.000845
running		2	0.00169
cheek?		1	0.000845
fresh		1	0.000845
new		6	0.00507
look		3	0.00254
for		9	0.00761
who		12	0.0101
brush		2	0.00169
becausehave		1	0.000845
mentioned?his		1	0.000845
walking		1	0.000845
over.		1	0.000845
me		7	0.00592
stick		1	0.000845
place		1	0.000845
lopen.		2	0.00169
hand?		1	0.000845
cut		1	0.000845
off		4	0.00338
long		6	0.00507
ago		2	0.00169
eaten		1	0.000845
fearsome		1	0.000845
beast?		1	0.000845
making		1	0.000845
rude		1	0.000845
gesture		1	0.000845
right		1	0.000845
now.		2	0.00169
thought		6	0.00507
would		6	0.00507
wish		1	0.000845
know		9	0.00761
prepare		1	0.000845
insulted.		1	0.000845
same		2	0.00169
lightheartedness		1	0.000845
which		2	0.00169
seemed		2	0.00169
approach		2	0.00169
everything.		1	0.000845
even		10	0.00845
joined		2	0.00169
bridge		2	0.00169
crew		1	0.000845
certain		3	0.00254
crazy		1	0.000845
eagerness.		1	0.000845
let		3	0.00254
worked		1	0.000845
yes		2	0.00169
though		1	0.000845
honestly		1	0.000845
probably		4	0.00338
dispatched		1	0.000845
three		3	0.00254
men		6	0.00507
easily		1	0.000845
spear		4	0.00338
extra		1	0.000845
speed		1	0.000845
strength		2	0.00169
lent.		1	0.000845
yet		2	0.00169
whether		1	0.000845
because		2	0.00169
unfamiliar		1	0.000845
these		7	0.00592
powers		1	0.000845
think		4	0.00338
forcing		1	0.000845
use		1	0.000845
put		4	0.00338
awkward		2	0.00169
positions.		1	0.000845
familiarity		1	0.000845
need		3	0.00254
abilities		1	0.000845
well		5	0.00423
spear.		1	0.000845
meant		1	0.000845
practice.		2	0.00169
lots		1	0.000845
unfortunately		2	0.00169
best		3	0.00254
practice		3	0.00254
find		3	0.00254
matched		3	0.00254
bested		1	0.000845
skill		1	0.000845
capacity.		1	0.000845
considering		1	0.000845
now		7	0.00592
going		9	0.00761
tall		2	0.00169
order.		1	0.000845
others		2	0.00169
dig		1	0.000845
waterskins		1	0.000845
their		13	0.011
packs		1	0.000845
figure		2	0.00169
standing		2	0.00169
shadows		1	0.000845
little		2	0.00169
ways		1	0.000845
stood		2	0.00169
alarmed		1	0.000845
until		2	0.00169
emerged		1	0.000845
light		3	0.00254
spheres.		1	0.000845
watch		1	0.000845
too		3	0.00254
busy		1	0.000845
being		2	0.00169
walls		3	0.00254
raising		1	0.000845
waterskin.		1	0.000845
bunch		1	0.000845
